sa2_name_2011,longitude,latitude,points,focal_longitude,focal_latitude,focal_dist,focal_angle,points1,focal_longitude1,focal_latitude1,focal_distance1,angle1,rownumber,hex_long,hex_lat,hex_id
Kelvin Grove - Herston,153.0168701278385,-27.4489026453411,Brisbane,153.0350927,-27.45503091,1925.1457982786608,-69.24038736024278,Brisbane,153.0350927,-27.45503091,1925.1457982786608,-69.24038736024278,26,152.69563915835627,-27.498743556377732,99475
Derwent Park - Lutana,147.30442945918574,-42.83338817290683,Hobart,147.2950297,-42.85000853,1999.8801461257112,22.51991919568102,Hobart,147.2950297,-42.85000853,1999.8801461257112,22.51991919568102,27,147.59563915835628,-42.56758558222696,56124
Fitzroy,144.97913271225596,-37.80100969723484,Melbourne,144.9750162,-37.82003131,2142.1643066309534,9.701066785334708,Melbourne,144.9750162,-37.82003131,2142.1643066309534,9.701066785334708,28,144.99563915835628,-37.71784332103411,70055
South Melbourne,144.95718495795052,-37.83337603968858,Melbourne,144.9750162,-37.82003131,2158.3114951731995,-133.44993532593014,Melbourne,144.9750162,-37.82003131,2158.3114951731995,-133.44993532593014,29,144.69563915835627,-37.891048401791,69555
Perth City,115.862954615635,-31.950519894531492,Perth,115.8399987,-31.95501463,2226.789221473144,76.99966681115369,Perth,115.8399987,-31.95501463,2226.789221473144,76.99966681115369,30,115.89563915835629,-32.00207565605681,86343
South Yarra - West,144.98180280097452,-37.83945335660655,Melbourne,144.9750162,-37.82003131,2236.9858391404523,164.56890174570842,Melbourne,144.9750162,-37.82003131,2236.9858391404523,164.56890174570842,31,144.99563915835628,-38.06425348254788,69059
Parkes (ACT),149.12877496619416,-35.30319108171494,Canberra,149.1290262,-35.28302855,2237.075944161418,-179.41723277378023,Canberra,149.1290262,-35.28302855,2237.075944161418,-179.41723277378023,32,148.99563915835628,-35.639382351951454,76051
Carlton,144.96778315098618,-37.80051198627988,Melbourne,144.9750162,-37.82003131,2258.199416405879,-16.315588966626194,Melbourne,144.9750162,-37.82003131,2258.199416405879,-16.315588966626194,33,144.8956391583563,-37.54463824027722,70552
Collingwood,144.98812159684005,-37.80208484518723,Melbourne,144.9750162,-37.82003131,2302.0860984070373,29.977657977689205,Melbourne,144.9750162,-37.82003131,2302.0860984070373,29.977657977689205,34,145.2956391583563,-37.54463824027722,70554
Waterloo - Beaconsfield,151.20670483088932,-33.90927481972207,Sydney,151.1851798,-33.92001097,2319.6056090472393,58.986939256514525,Sydney,151.1851798,-33.92001097,2319.6056090472393,58.986939256514525,35,150.8956391583563,-34.08053662513946,80542
